,0
0,"GIVEAWAY TIME!🎉
I'm so happy to announce my first giveaway on my 19th birthday and to celebrate 150k! I'm really grateful for your support and love and that's why I decided to do a DRAWING for 2 of you!✨ It's an internation giveaway with shipping included, so it would be totally free! 🎉

RULES:
1️⃣ Follow me
2️⃣ Like this post
3️⃣ Tag someone that can be interested (the more comments you do more oportunities you'll have to win)

The giveaway will be ended the 08/18 so you have a week to participate! The winners will be chosed randomly. I'll contact with the two winners the same day via DM and if they don't respond I'll contact with another person. Thank you another time💛 ~

#sketchbook #arts_gallery #sketch_dailydose #proartists #dailyarts #art_spotlight #art_conquest #hypnotizing_arts #sunlight_art #sharingart #fanart #drawing"
1,Tiny man vs large helmet 👊 #bts #btsfanart #fanart #yoongi #yoongifanart #art #sketch #drawing #kpop
2,"Repost 🍏
Hey friends! My son broke my iPad screen and I don’t know if I should repair it or wait and get the newer model instead. My heart is crying 😭
How was your weekend? Hope you’re all doing well
—
#digitalart #art #drawing #artist #artwork #artlovers #artoftheday #painting #paint #sketch #sketching #ipad #ipadpro #procreate #art #illustration #heymaryjean #sketchbook #glow #makeup #eyes"
3,"This is me today sitting at my lovely desk asking myself « What can I Draw? » 🌝
-
Quand tu es assise à ton bureau et que tu ne sais pas quoi dessiner mais que tu finis par te dessiner en train de ne pas savoir quoi dessiner."
4,"I wanted to do the Challenge ""using every single pink art supply i own"" of @drawingwiffwaffles and to do this challenge I wanted to use a pink diamond💎🌺
i hope you liked guys ^^
#pink#pinkdiamond#stevenuniverse#sharpie#touchmarkers#bicmarking#giotto##Dtiys#animeartworks#artist#animeartworks#artvisual#manga#mangaart#animegallerypics#drawing#copicsketch#copicmarker#japananime#畫#画画#画#画图#畫畫#畫圖#绘#落書き#繪畫#绘画#绘图#繪圖"
5,"I still haven’t gotten a chance to go out and buy some gouache paints so I mixed some watercolors with white ink.
•
•
•
•
•
•
Paper: (140 lb Black Cold Press Watercolor Paper)
Paint: @artezaofficial (Watercolor )
Brush: @princetonbrush (Round 2), @artezaofficial (Liner 1/Round 3/0)
Ink: @winsorandnewton (White)"
6,"Do you miss The Big Bang Theory? ☺️
My portrait of @therealjimparsons as #sheldoncooper from #thebigbangtheory
Ti manca? ❤️
🔸 🔹 🔸 🔹 🔸 🔹 🔸 🔹 🔸
#portrait#drawing#illustration#ritratto#disegno#illustrazione#coloredpencils#greypaper#mixedmedia#marcellobarenghi#portraitdrawing Get access to all my #drawingtutorials (Check my Bio)"
7,"It’s me! My profile picture may have changed, but I’m still the same ☺️ and I’ll be back to annoying you with my lyric lettering tomorrow 😂
.
Materials used: iPad Pro, Apple Pencil, @procreate app, @stmgoods iPad Pro case .
.
.
.
.
.
.
.
.
#lettering #handlettering #ipad #ipadpro #applepencil #procreateapp #digitaldrawing #doodle #drawing #illustration #artistsoninstagram #handmadefont #goodtype #designspiration #typography #typespire #digitalart #ipadart #ipadlettering"
8,"Художник: @vavilinaelenacom
🎨🎨🎨
⠀
#акварель #aquarelle #painting #drawing #art #artist #artwork #painting #illustration #watercolor #aquarela
#рисую #рисунок #рисуюкаждыйдень #акварелька #aquarelle #drawing #handpainted #colorful #люблюмоскву #учусьрисовать #artwork #watercolorist #waterblog #art_we_inspire #inspiring_watercolors #ProArtists #рисование #arts_gallery #artmotive"
9,"Making progress on Lucas. My hands hurt so I’m done for the day
.
.
.
#art #artist #drawing #artwork #love #photography #earthbound #design #illustration #sketch #instagood #arte #digitalart #artistsoninstagram #fashion #like #instaart #photooftheday #music #draw #contemporaryart #beautiful #nature #follow #instagram #photo #picoftheday #creative #nintendo #bhfyp"
10,"✦°・˙ ~The Alien🍅👽🛸@tomlevratti ♡♡// hope u guys like it!
✦°・˙ ✦°・˙ ✦°・˙ ✦°・˙ ✦°・˙ ✦°・˙ ✦°・˙#photooftheday#artist#instaart#artoftheday#artsy#drawing#fanart#instagood#sketch#rockorockz#youtube#youtuberfanart#drawing#watercolors#sketch#prismacolors#instaartist#instaart#art#artwork#arte#artistic #artstagram #tomate #tom #tomlevratti #artwork #followme"
11,#roberthuman #drawing #art #artist #artsy #artistsoninstagram #artwork #draw #drawing #ink #inkdrawing #inkart #inking #lineart #illustration
12,#اغاسا 😂🙈✨ #رسم #رسامين #رسامين_عرب #انمي #اوتاكو #مانجا #كاوايي #كونان #المحقق_كونان #سبيستون #جدة #anime #otaku #manga #kawaii #detectiveconan #art #draw #drawing jeddah #spacetoontv
13,"Llego la pagina 4 de city of legends 😋
Tibbers hace su debut espero que les guste esta mini historia.
---------------
Annie: ¡¡ ve por el Tibbers!!
Vendedor: ayudenme.
-----------------
Chicas de fondo: que lindo...... que guapo
Ayudante: señorita Eudora que es lo que vamos a hacer.
----------------
Ayudante: que linda
Eudora: vamos a sacar buenas fotos ya que soy la Diosa de las Selfies
------------------
#minihistoria
#minihistorias #leagueoflegends #fanart #anniefanart #mobilelegends #fanartanime #fanarteudora #dibujooriginal #dibujos #dibujosleagueoflegends #dibujodigital #personaje #dibujoalapiz #dibujospanama #drawing #comics"
14,"Old
#pencilsketches #sketches #shitpost #instaartist #art #artstyle #pencilsketches #sketches #shitpost #instaartist #art #artstyle#Artdaily #art #artistic #artsy #instaart #Artisuniversity #drawing #characterdesign #Disney #sushi #artshare #Digitalpainting #digitaldrawing #planetsketch #digital sketch, #digitaldrawing #digitalartwork #digitalpaint #digitalartists #speedpaint #sketchdaily"
15,"My newest oc's :)
-
-
#sketching #traditionalart #digitalart #lineart #drawing #latenightdrawing #originalcharacter #wizard #witch #2d"
16,. #draw #drawing #anime #artistsoninstagram #artistoninstagram #artistofinstagram #paintersofinstagram #painters #sketchbook #pencilsketches #sketch_book #summervibes #summergoals2019 #2019 #fashion #style #cartoon #anime #stevenuniverse #stevenuniversefanart #flannel #clothes #stevenuniversemovie #adventuretime #marcelinexbubblegum #marcelinethevampirequeen #legos #legoland #legocollector
17,Acrylic color drawing 🔥 by @here’s_johnny04 #art #drawing #painting #color #artist #dragonballz #dragonballsuper #gokublack
18,"GIVEAWAY TIME!🎉
I'm so happy to announce my first giveaway on my 19th birthday and to celebrate 150k! I'm really grateful for your support and love and that's why I decided to do a DRAWING for 2 of you!✨ It's an internation giveaway with shipping included, so it would be totally free! 🎉

RULES:
1️⃣ Follow me
2️⃣ Like this post
3️⃣ Tag someone that can be interested (the more comments you do more oportunities you'll have to win)

The giveaway will be ended the 08/18 so you have a week to participate! The winners will be chosed randomly. I'll contact with the two winners the same day via DM and if they don't respond I'll contact with another person. Thank you another time💛 ~

#sketchbook #arts_gallery #sketch_dailydose #proartists #dailyarts #art_spotlight #art_conquest #hypnotizing_arts #sunlight_art #sharingart #fanart #drawing"
19,"Repost 🍏
Hey friends! My son broke my iPad screen and I don’t know if I should repair it or wait and get the newer model instead. My heart is crying 😭
How was your weekend? Hope you’re all doing well
—
#digitalart #art #drawing #artist #artwork #artlovers #artoftheday #painting #paint #sketch #sketching #ipad #ipadpro #procreate #art #illustration #heymaryjean #sketchbook #glow #makeup #eyes"
20,Tiny man vs large helmet 👊 #bts #btsfanart #fanart #yoongi #yoongifanart #art #sketch #drawing #kpop
21,Just a happy little squid sketch card for Sunday. Have a good one folks. 🍻
22,"Hair colouring process
✨Credits to @bluesssatan
.
Follow @draw_tip
Dm about paid feature/promotion
.
For copyright issues or to get the post deleted, dm me.
.
.
@draw_tip
#drawing #arthelp #arttips #artreference #arttutorial #animedrawing #drawtip #anime #manga #art #howtodraw #howto #instaart #artist"
23,"Do you miss The Big Bang Theory? ☺️
My portrait of @therealjimparsons as #sheldoncooper from #thebigbangtheory
Ti manca? ❤️
🔸 🔹 🔸 🔹 🔸 🔹 🔸 🔹 🔸
#portrait#drawing#illustration#ritratto#disegno#illustrazione#coloredpencils#greypaper#mixedmedia#marcellobarenghi#portraitdrawing Get access to all my #drawingtutorials (Check my Bio)"
24,"I wanted to do the Challenge ""using every single pink art supply i own"" of @drawingwiffwaffles and to do this challenge I wanted to use a pink diamond💎🌺
i hope you liked guys ^^
#pink#pinkdiamond#stevenuniverse#sharpie#touchmarkers#bicmarking#giotto##Dtiys#animeartworks#artist#animeartworks#artvisual#manga#mangaart#animegallerypics#drawing#copicsketch#copicmarker#japananime#畫#画画#画#画图#畫畫#畫圖#绘#落書き#繪畫#绘画#绘图#繪圖"
25,"I still haven’t gotten a chance to go out and buy some gouache paints so I mixed some watercolors with white ink.
•
•
•
•
•
•
Paper: (140 lb Black Cold Press Watercolor Paper)
Paint: @artezaofficial (Watercolor )
Brush: @princetonbrush (Round 2), @artezaofficial (Liner 1/Round 3/0)
Ink: @winsorandnewton (White)"
